date,symbol,signal,confidence,predicted_return_1d,predicted_price_1d,close,weight,portfolio_impact_score,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_95,expected_shortfall_95,signal_reason,signal_source
2021-04-30,BAJAJFINSV,SELL,0.736101922411669,-0.012605662356203836,10902.462688244621,11041.65,0.14897743968308852,-0.0013823694533970504,0.41360781736327823,0.3640031250652045,0.9714417075401094,1.326201150308155,-0.5858958485989332,-0.03106277432851448,-0.04911502268721487,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,TITAN,HOLD,0.6167113900042255,-0.0005728550002347448,1490.7955008389,1491.65,0.09983900771161035,-3.527174399221161e-05,0.24642259818911927,0.32847479401788054,0.5675400413797698,0.851797620645743,-0.4173002073405844,-0.028411755689139402,-0.043129051626616094,close below 20-day MA; close above 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,ASIANPAINT,HOLD,0.616781161411114,-0.0005767311895063334,2534.9371790109362,2536.4,0.09911008303109792,-3.525513475387215e-05,0.21698528723424904,0.2659901724567144,0.5901920577903902,0.8808868351149687,-0.28855005753739926,-0.023898556269490178,-0.035365732778810374,close below 20-day MA; close above 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,HINDUNILVR,HOLD,0.6041596875281358,0.00012446180399246023,2354.042951971147,2353.75,0.09707637137794718,7.2996387779419454e-06,0.20004124601752005,0.23760228812650816,0.5893935076204189,0.9956043723690511,-0.21321721311475228,-0.020817577845825625,-0.029141334705938368,close below 20-day MA; close above 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,BAJFINANCE,BUY,0.6956769673043545,0.00031538707246413537,5453.619458780367,5451.9,0.08972481140036713,1.9686298540141055e-05,0.07398830634900744,0.5409439526858286,0.025859067800932823,0.023358301114907623,-0.9328201662380522,-0.036419762245126226,-0.06952051503972341,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
2021-04-30,SHREECEM,SELL,0.7038982336844112,0.0004945425730882695,27924.302930486178,27910.5,0.08060935612702648,2.8060733019826426e-05,0.1919904836420565,0.3129282060072947,0.4217915838464867,0.6731545799125247,-0.3689685639695034,-0.02893812676925517,-0.04102534475908093,close below 20-day MA; close below 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,NESTLEIND,SELL,0.703459120676391,0.0005189377402004984,16317.713485339364,16309.25,0.07521043698351955,2.745568181417157e-05,0.16497959211053193,0.25511373836450413,0.4115011319403664,0.6547402704612011,-0.32401058258193516,-0.021322624026233413,-0.0329349397211884,close below 20-day MA; close below 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,TATASTEEL,HOLD,0.6314580095805369,0.0005476671989187167,1034.566287883682,1034.0,0.06574134567184378,2.2735253270459226e-05,0.16316596093272606,0.3906930310514781,0.2640588716288948,0.39445484808636644,-0.676132737715379,-0.03744123975419165,-0.05476033061662495,close above 20-day MA; close above 50-day MA; MACD bullish; RSI overbought; positive 20-day momentum,model_plus_indicators
2021-04-30,ULTRACEMCO,SELL,0.708854653314083,0.00021918592699538597,6280.326257476308,6278.95,0.06343744782260807,9.85633744039923e-06,0.14814440970820297,0.29220800940754627,0.3016495334502171,0.4493426802885171,-0.37656087005918115,-0.027574588416709997,-0.03873370249017259,close below 20-day MA; close below 50-day MA; MACD bearish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,RELIANCE,SELL,0.6013455879810982,-0.005541421554505452,1983.447634709539,1994.5,0.06220951064984239,-0.00020730133729109012,0.13918570833367006,0.3633511579370908,0.21793162510680636,0.2267858129903656,-0.5267559541845946,-0.02560681333622636,-0.045384011397817,close above 20-day MA; close below 50-day MA; MACD bullish; RSI neutral; negative 20-day momentum,model_plus_indicators
2021-04-30,HINDALCO,HOLD,0.6380872537064107,-0.007049291872578372,361.8312380416324,364.4,0.05924524514962053,-0.00026648886240629725,0.14350891532221843,0.4173442076207899,0.20009602097580056,0.3033611250839611,-0.6858470335954252,-0.03834662727026462,-0.05682936988644767,close above 20-day MA; close above 50-day MA; MACD bullish; RSI neutral; positive 20-day momentum,model_plus_indicators
