model,directional_accuracy,balanced_accuracy,precision,recall,f1,roc_auc,decision_threshold,validation_directional_accuracy
logistic_regression_direction,0.5109126984126984,0.5114734365236686,0.5190952048958091,0.46869972721549974,0.4926119238403293,0.5159679299608784,0.495,0.5139491966999565
hist_gradient_boosting_direction,0.5136763038548753,0.51399408899367,0.5212536291223108,0.4897530950549066,0.50501262170934,0.5178834024488214,0.5,0.5119409465914025
extra_trees_direction,0.5125425170068028,0.5131509201003268,0.5210431795112048,0.4667412743932293,0.49239964580873674,0.518746821015921,0.5,0.5192140686061659
soft_voting_direction,0.514951814058957,0.5158765302057458,0.5250267997031417,0.4453381828355599,0.48191038449894036,0.5211120502087045,0.5,0.5144919669995658
